name,price,link
Dolce&Gabbana," ,€ 545, ,€ 755",/int/en/men/dolce-gabbana-wool-straight-pants-white-p00897695
Auralee," ,€ 635, ,€ 695, ,€ 319",/int/en/men/auralee-wool-and-mohair-blazer-beige-p00894905
Bode," ,€ 639, ,€ 1,085, ,€ 499",/int/en/men/bode-embroidered-cotton-jacket-brown-p00837220
Bode," ,€ 749, ,€ 659, ,€ 1,389, ,€ 465",/int/en/men/bode-striped-mid-rise-cotton-straight-pants-multicoloured-p00884921
Burberry," ,€ 755, ,€ 1,505, ,€ 669",/int/en/men/burberry-camden-cotton-gabardine-car-coat-black-p00888004
Gucci," ,€ 695, ,€ 635, ,€ 489, ,€ 1,009",/int/en/men/gucci-jordaan-leather-loafers-black-p00436217
Zegna," ,€ 715, ,€ 665, ,€ 399, ,€ 319, ,€ 223",/int/en/men/zegna-straight-leg-cotton-and-wool-pants-beige-p00734220
Balenciaga," ,€ 925, ,€ 895, ,€ 1,200",/int/en/men/balenciaga-political-campaign-hooded-sweatshirt-black-p00486724
Brunello Cucinelli," ,€ 635, ,€ 3,195, ,€ 695",/int/en/men/brunello-cucinelli-linen-suit-beige-p00932911
Gucci," ,€ 755, ,€ 659, ,€ 315, ,€ 925, ,€ 1,765",/int/en/men/gucci-mid-rise-straight-jeans-blue-p00737597
Burberry," ,€ 835, ,€ 1,475, ,€ 1,055",/int/en/men/burberry-shield-medium-burberry-check-duffel-bag-green-p00896224
Valentino," ,€ 825, ,€ 1,265, ,€ 925",/int/en/men/valentino-cotton-overshirt-blue-p00882353
Gucci," ,€ 755, ,€ 659, ,€ 315, ,€ 489, ,€ 925",/int/en/men/gucci-mid-rise-straight-jeans-blue-p00737597
Brunello Cucinelli," ,€ 635, ,€ 1,009, ,€ 3,029, ,€ 585",/int/en/men/brunello-cucinelli-linen-chinos-brown-p00895814
Gucci," ,€ 755, ,€ 659, ,€ 315, ,€ 925, ,€ 1,765",/int/en/men/gucci-mid-rise-straight-jeans-blue-p00737597
Balenciaga," ,€ 925, ,€ 950, ,€ 1,200",/int/en/men/balenciaga-cotton-sweatshirt-blue-p00798271
Brioni," ,€ 1,749, ,€ 485, ,€ 2,479, ,€ 419",/int/en/men/brioni-pienza-cotton-straight-pants-blue-p00884410
The Row," ,€ 685, ,€ 1,179",/int/en/men/the-row-benji-cashmere-sweater-beige-p00654779
Zegna," ,€ 635, ,€ 1,765, ,€ 585, ,€ 409",/int/en/men/zegna-single-breasted-virgin-wool-suit-grey-p00734210
Brunello Cucinelli," ,€ 1,005, ,€ 749, ,€ 3,115, ,€ 775",/int/en/men/brunello-cucinelli-cotton-polo-shirt-neutrals-p00895724
Tom Ford," ,€ 1,675, ,€ 1,169",/int/en/men/tom-ford-leather-loafers-black-p00596867
Zegna," ,€ 835, ,€ 375, ,€ 2,179",/int/en/men/zegna-linen-shirt-blue-p00911529
Loro Piana," ,€ 1,515, ,€ 415, ,€ 749, ,€ 449",/int/en/men/loro-piana-andre-denim-shirt-blue-p00440470
Tom Ford," ,€ 2,429, ,€ 499, ,€ 190, ,€ 499",/int/en/men/tom-ford-slim-fit-jeans-blue-p00487047
The Row," ,€ 2,919, ,€ 1,229, ,€ 1,269, ,€ 959, ,€ 1,775",/int/en/men/the-row-soft-leather-loafers-black-p00835943
The Row," ,€ 3,919, ,€ 895, ,€ 1,269, ,€ 2,959",/int/en/men/the-row-sailor-leather-loafers-black-p00727110
Dolce&Gabbana," ,€ 755, ,€ 1,055, ,€ 569",/int/en/men/dolce-gabbana-cotton-polo-shirt-beige-p00897665
Burberry," ,€ 1,255, ,€ 665, ,€ 445, ,€ 1,135",/int/en/men/burberry-embellished-leather-loafers-black-p00896262
Zegna," ,€ 635, ,€ 629",/int/en/men/zegna-oasi-lino-linen-pants-blue-p00911552
Tom Ford," ,€ 1,339, ,€ 499, ,€ 329, ,€ 230",/int/en/men/tom-ford-slim-fit-jeans-blue-p00487047
